date,open,high,low,close,volume
1640961000,475.64,476.86,474.67,474.96,65237400
1641220200,476.30,477.85,473.85,477.71,72668200
1641306600,479.22,479.98,475.58,477.55,71178700
1641393000,477.16,477.98,468.28,468.38,104538900
1641479400,467.89,470.82,465.43,467.94,86858900
1641565800,467.95,469.20,464.65,466.09,85111600
1641825000,462.70,465.74,456.60,465.51,119362000
1641911400,465.23,469.85,462.05,469.75,74303100
1641997800,471.59,473.20,468.94,471.02,67605400
1642084200,472.19,472.88,463.44,464.53,91173100
1642170600,461.19,465.09,459.90,464.72,95890900
1642516200,459.74,459.96,455.31,456.49,109709100
1642602600,458.13,459.61,451.46,451.75,109357600
1642689000,453.75,458.74,444.50,446.75,122379700
1642775400,445.56,448.06,437.95,437.98,202271200
1643034600,432.03,440.38,420.76,439.84,251783900
1643121000,433.06,439.72,427.15,434.47,167997300
1643207400,440.72,444.04,428.86,433.38,186391100
1643293800,438.26,441.59,429.45,431.24,149878300
1643380200,432.68,442.00,427.82,441.95,164457400
1643639400,441.24,450.28,439.81,449.91,152251400
1643725800,450.68,453.63,446.94,452.95,123155400
1643812200,455.50,458.12,453.05,457.35,117361000
1643898600,450.95,452.97,445.71,446.60,118024400
1643985000,446.35,452.78,443.83,448.70,118454400
1644244200,449.51,450.99,445.85,447.26,84472900
1644330600,446.73,451.92,445.22,450.94,81012000
1644417000,455.22,457.88,455.01,457.54,92589900
1644503400,451.34,457.71,447.20,449.32,140103700
1644589800,449.41,451.61,438.94,440.46,153214600
1644849000,439.92,441.60,435.34,439.02,123006300
1644935400,443.73,446.28,443.18,446.10,88482700
1645021800,443.93,448.06,441.94,446.60,84863600
1645108200,443.22,446.57,436.42,437.06,102259100
1645194600,437.33,438.66,431.82,434.23,132642900
1645540200,431.89,435.50,425.86,429.57,124391800
1645626600,432.66,433.26,421.35,421.95,132578000
1645713000,411.02,428.76,410.64,428.30,213942900
1645799400,429.61,437.84,427.86,437.75,121804500
1646058600,432.03,438.20,430.70,436.63,145615000
1646145000,435.04,437.17,427.11,429.98,137785900
1646231400,432.37,439.72,431.57,437.89,117726500
1646317800,440.47,441.11,433.80,435.71,105501700
1646404200,431.75,433.37,427.88,432.17,113978200
1646663400,431.55,432.30,419.36,419.43,137896600
1646749800,419.62,427.21,415.12,416.25,164772700
1646836200,425.14,429.51,422.82,427.41,116990800
1646922600,422.52,426.43,420.44,425.48,93972700
1647009000,428.12,428.77,419.53,420.07,95636300
1647264600,420.89,424.55,415.79,417.00,95729200
1647351000,419.77,426.84,418.42,426.17,106219100
1647437400,429.89,435.68,424.80,435.62,144954800
1647523800,433.59,441.07,433.19,441.07,102676900
1647610200,438.00,444.86,437.22,444.52,106345500
1647869400,444.34,446.46,440.68,444.39,88349800
1647955800,445.86,450.58,445.86,449.59,74650400
1648042200,446.91,448.49,443.71,443.80,79426100
1648128600,445.94,450.50,444.76,450.49,64736900
1648215000,451.16,452.98,448.43,452.69,77101300
1648474200,452.06,455.91,450.06,455.91,68529800
1648560600,460.02,462.07,457.18,461.55,86581500
1648647000,460.34,461.20,456.47,458.70,79666900
1648733400,457.89,458.76,451.16,451.64,121699900
1648819800,453.31,453.46,449.14,452.92,89048800
1649079000,453.13,456.91,452.26,456.80,59601000
1649165400,455.22,457.83,449.82,451.03,74214500
1649251800,446.89,448.93,443.47,446.52,106898000
1649338200,445.59,450.69,443.53,448.77,78097200
1649424600,447.97,450.63,445.94,447.57,79272700
1649683800,444.11,445.00,439.39,439.92,89770500
1649770200,443.08,445.75,436.65,438.29,84363600
1649856600,438.03,444.11,437.84,443.31,74070400
1649943000,443.55,444.73,437.68,437.79,97869500
1650288600,436.81,439.75,435.61,437.97,66002500
1650375000,437.86,445.80,437.68,445.04,77821000
1650461400,446.92,447.57,443.48,444.71,65224400
1650547800,448.54,450.01,437.10,438.06,85417300
1650634200,436.91,438.08,425.44,426.04,132471800
1650893400,423.67,428.69,418.84,428.51,119647700
1650979800,425.83,426.04,416.07,416.10,103996300
1651066200,417.24,422.92,415.01,417.27,122030000
1651152600,422.29,429.64,417.60,427.81,105449100
1651239000,423.59,425.87,411.21,412.00,145491100
1651498200,412.07,415.92,405.02,414.48,158312500
1651584600,415.01,418.93,413.36,416.38,100028200
1651671000,417.08,429.66,413.71,429.06,144247900
1651757400,424.55,425.00,409.44,413.81,172929100
1651843800,411.10,414.80,405.73,411.34,151770800
1652103000,405.10,406.41,396.50,398.17,155586100
1652189400,404.49,406.08,394.82,399.09,132497200
1652275800,398.07,404.04,391.96,392.75,142361000
1652362200,389.37,395.80,385.15,392.34,125090800
1652448600,396.71,403.18,395.61,401.72,104174400
1652707800,399.98,403.97,397.60,400.09,78622400
1652794200,406.53,408.57,402.58,408.32,83029700
1652880600,403.50,403.80,390.55,391.86,117674500
1652967000,388.62,394.14,387.11,389.46,98510700
1653053400,393.25,397.03,380.54,389.63,131432200
1653312600,392.83,397.73,390.38,396.92,76414900
1653399000,392.56,395.15,386.96,393.89,91448800
