date,close
1726579800,565.95
1726583400,565.14
1726587000,563.74
1726590600,562.72
1726594200,562.63
1726597800,562.18
1726601400,563.11
1726666200,563.13
1726669800,562.76
1726673400,563.00
1726677000,563.72
1726680600,565.90
1726684200,564.94
1726687800,561.34
1726752600,571.35
1726756200,570.90
1726759800,571.68
1726763400,571.86
1726767000,572.00
1726770600,571.17
1726774200,570.92
1726839000,567.22
1726842600,565.99
1726846200,567.95
1726849800,568.22
1726853400,566.62
1726857000,568.24
1726860600,568.10
1727098200,569.79
1727101800,569.73
1727105400,568.94
1727109000,568.78
1727112600,569.24
1727116200,569.51
1727119800,569.62
1727184600,568.28
1727188200,569.85
1727191800,570.51
1727195400,570.61
1727199000,570.23
1727202600,570.64
1727206200,571.24
1727271000,571.10
1727274600,570.77
1727278200,570.64
1727281800,569.75
1727285400,570.20
1727289000,569.86
1727292600,570.00
1727357400,572.62
1727361000,571.34
1727364600,571.25
1727368200,571.09
1727371800,572.42
1727375400,572.12
1727379000,572.25
1727443800,573.85
1727447400,573.28
1727451000,572.23
1727454600,571.78
1727458200,571.21
1727461800,571.98
1727465400,571.41
1727703000,570.92
1727706600,571.56
1727710200,571.88
1727713800,571.07
1727717400,569.29
1727721000,570.89
1727724600,574.02
1727789400,567.46
1727793000,567.92
1727796600,568.77
1727800200,566.44
1727803800,570.48
1727807400,570.26
1727811000,568.69
1727875800,568.36
1727879400,569.52
1727883000,569.49
1727886600,568.43
1727890200,568.47
1727893800,569.21
1727897400,568.85
1727962200,567.17
1727965800,567.47
1727969400,568.70
1727973000,566.47
1727976600,567.01
1727980200,566.53
1727983800,567.78
1728048600,568.83
1728052200,568.78
1728055800,569.80
1728059400,571.05
1728063000,570.78
1728066600,572.04
1728070200,572.92
1728307800,571.50
1728311400,571.65
1728315000,570.96
1728318600,570.37
1728322200,569.55
1728325800,567.88
1728329400,567.81
1728394200,570.86
1728397800,571.84
1728401400,572.03
1728405000,571.22
1728408600,571.95
1728412200,572.86
1728415800,573.11
1728480600,574.11
1728484200,575.71
1728487800,576.26
1728491400,576.48
1728495000,576.40
1728498600,576.71
1728502200,577.12
1728567000,575.95
1728570600,576.29
1728574200,577.17
1728577800,576.37
1728581400,575.38
1728585000,575.40
1728588600,576.10
1728653400,579.78
1728657000,579.18
1728660600,578.75
1728664200,578.87
1728667800,579.46
1728671400,580.06
1728675000,579.55
1728912600,583.43
1728916200,582.78
1728919800,583.73
1728923400,583.78
1728927000,584.04
1728930600,584.54
1728934200,584.28
1728999000,583.26
1729002600,582.32
1729006200,582.12
1729009800,581.08
1729013400,580.54
1729017000,579.31
1729020600,579.81
1729085400,580.81
1729089000,580.60
1729092600,580.83
1729096200,581.17
1729099800,582.62
1729103400,582.36
1729107000,582.24
1729171800,583.87
1729175400,584.02
1729179000,584.29
1729182600,584.22
1729186200,582.64
1729189800,582.58
1729193400,582.28
1729258200,583.47
1729261800,584.25
1729265400,584.15
1729269000,584.62
1729272600,585.18
1729276200,584.46
1729279800,584.57
1729517400,583.92
1729521000,580.83
1729524600,582.17
1729528200,582.91
1729531800,582.64
1729535400,582.93
1729539000,583.67
1729603800,581.41
1729607400,582.08
1729611000,581.76
1729614600,582.66
1729618200,583.68
1729621800,583.64
1729625400,583.32
1729690200,580.99
1729693800,578.90
1729697400,578.20
1729701000,577.00
1729704600,575.51
1729708200,577.28
1729711800,577.93
1729776600,578.93
1729780200,578.65
1729783800,578.01
1729787400,579.05
1729791000,578.88
1729794600,579.44
1729798200,579.18
1729863000,584.17
1729866600,582.50
1729870200,582.70
1729873800,580.45
1729877400,579.83
1729881000,579.51
1729884600,579.02
1730122200,582.41
1730125800,581.59
1730129400,581.53
1730133000,581.33
1730136600,581.32
1730140200,581.45
1730143800,580.77
1730208600,580.47
1730212200,581.00
1730215800,581.39
1730219400,582.01
1730223000,582.36
1730226600,582.84
1730230200,581.71
1730295000,582.71
1730298600,582.85
1730302200,582.49
1730305800,581.52
1730309400,581.13
1730313000,580.57
1730316600,579.96
1730381400,571.99
1730385000,571.08
1730388600,571.50
1730392200,571.18
1730395800,570.49
1730399400,571.17
1730403000,568.57
1730467800,575.46
1730471400,575.20
1730475000,573.39
1730478600,573.70
1730482200,571.92
1730485800,571.75
1730489400,571.02
1730730600,572.11
1730734200,571.11
1730737800,570.01
1730741400,570.55
1730745000,570.33
1730748600,570.24
1730752200,569.78
1730817000,574.01
1730820600,574.71
1730824200,575.67
1730827800,575.38
1730831400,575.43
1730835000,575.69
1730838600,576.68
1730903400,588.82
1730907000,588.15
1730910600,588.76
1730914200,590.19
1730917800,590.55
1730921400,591.11
1730925000,591.04
1730989800,594.27
1730993400,594.61
1730997000,595.23
1731000600,594.85
1731004200,594.74
1731007800,596.15
1731011400,595.55
1731076200,597.34
1731079800,597.99
1731083400,597.64
1731087000,598.17
1731090600,599.23
1731094200,598.25
1731097800,598.24
1731335400,598.87
1731339000,599.11
1731342600,598.81
1731346200,597.85
1731349800,598.14
1731353400,598.28
1731357000,598.72
1731421800,597.95
1731425400,597.17
1731429000,596.49
1731432600,595.82
1731436200,597.98
