date,close
1514903400,268.77
1514989800,270.47
1515076200,271.61
1515162600,273.42
1515421800,273.92
1515508200,274.54
1515594600,274.12
1515681000,276.12
1515767400,277.92
1516113000,276.97
1516199400,279.61
1516285800,279.14
1516372200,280.41
1516631400,282.69
1516717800,283.29
1516804200,283.18
1516890600,283.30
1516977000,286.58
1517236200,284.68
1517322600,281.76
1517409000,281.90
1517495400,281.58
1517581800,275.45
1517841000,263.93
1517927400,269.13
1518013800,267.67
1518100200,257.63
1518186600,261.50
1518445800,265.34
1518532200,266.00
1518618600,269.59
1518705000,273.03
1518791400,273.11
1519137000,271.40
1519223400,270.05
1519309800,270.40
1519396200,274.71
1519655400,277.90
1519741800,274.43
1519828200,271.65
1519914600,267.70
1520001000,269.08
1520260200,272.19
1520346600,272.88
1520433000,272.78
1520519400,274.10
1520605800,278.87
1520861400,278.52
1520947800,276.72
1521034200,275.30
1521120600,275.00
1521207000,274.20
1521466200,270.49
1521552600,270.95
1521639000,270.43
1521725400,263.67
1521811800,258.05
1522071000,265.11
1522157400,260.60
1522243800,259.83
1522330200,263.15
1522675800,257.47
1522762200,260.77
1522848600,263.56
1522935000,265.64
1523021400,259.72
1523280600,261.00
1523367000,265.15
1523453400,263.76
1523539800,265.93
1523626200,265.15
1523885400,267.33
1523971800,270.19
1524058200,270.39
1524144600,268.89
1524231000,266.61
1524490200,266.57
1524576600,262.98
1524663000,263.63
1524749400,266.31
1524835800,266.56
1525095000,264.51
1525181400,264.98
1525267800,263.20
1525354200,262.62
1525440600,266.02
1525699800,266.92
1525786200,266.92
1525872600,269.50
1525959000,272.02
1526045400,272.85
1526304600,272.98
1526391000,271.10
1526477400,272.24
1526563800,272.01
1526650200,271.33
1526909400,273.37
1526995800,272.61
1527082200,273.36
1527168600,272.80
1527255000,272.15
1527600600,269.02
1527687000,272.61
1527773400,270.94
1527859800,273.60
1528119000,274.90
1528205400,275.10
1528291800,277.40
1528378200,277.37
1528464600,278.19
1528723800,278.56
1528810200,278.92
1528896600,278.03
1528983000,278.73
1529069400,277.13
1529328600,276.56
1529415000,275.50
1529501400,275.97
1529587800,274.24
1529674200,274.74
1529933400,271.00
1530019800,271.60
1530106200,269.35
1530192600,270.89
1530279000,271.28
1530538200,271.86
1530624600,270.90
1530797400,273.11
1530883800,275.42
1531143000,277.90
1531229400,278.90
1531315800,276.86
1531402200,279.37
1531488600,279.59
1531747800,279.34
1531834200,280.47
1531920600,281.06
1532007000,280.00
1532093400,279.68
1532352600,280.20
1532439000,281.61
1532525400,284.01
1532611800,283.34
1532698200,281.42
1532957400,279.95
1533043800,281.33
1533130200,280.86
1533216600,282.39
1533303000,283.60
1533562200,284.64
1533648600,285.58
1533735000,285.46
1533821400,285.07
1533907800,283.16
1534167000,282.10
1534253400,283.90
1534339800,281.78
1534426200,284.06
1534512600,285.06
1534771800,285.67
1534858200,286.34
1534944600,286.17
1535031000,285.79
1535117400,287.51
1535376600,289.78
1535463000,289.92
1535549400,291.48
1535635800,290.30
1535722200,290.31
1536067800,289.81
1536154200,289.03
1536240600,288.16
1536327000,287.60
1536586200,288.10
1536672600,289.05
1536759000,289.12
1536845400,290.83
1536931800,290.88
1537191000,289.34
1537277400,290.91
1537363800,291.22
1537450200,293.58
1537536600,291.99
1537795800,291.02
1537882200,290.75
1537968600,289.88
1538055000,290.69
1538141400,290.72
1538400600,291.73
1538487000,291.56
1538573400,291.72
1538659800,289.44
1538746200,287.82
1539005400,287.82
1539091800,287.40
1539178200,278.30
1539264600,272.17
1539351000,275.95
1539610200,274.40
1539696600,280.40
1539783000,280.45
1539869400,276.40
1539955800,276.25
1540215000,275.01
1540301400,273.61
1540387800,265.32
1540474200,270.08
1540560600,265.33
1540819800,263.86
1540906200,267.77
1540992600,270.63
1541079000,273.51
1541165400,271.89
1541428200,273.39
1541514600,275.12
1541601000,281.01
1541687400,280.50
1541773800,277.76
1542033000,272.57
1542119400,272.06
1542205800,270.20
1542292200,273.02
1542378600,273.73
1542637800,269.10
1542724200,264.12
1542810600,265.02
1542983400,263.25
1543242600,267.50
1543329000,268.40
1543415400,274.58
1543501800,273.98
1543588200,275.65
1543847400,279.30
1543933800,270.25
1544106600,269.84
1544193000,263.57
1544452200,264.07
1544538600,264.13
1544625000,265.46
1544711400,265.37
1544797800,260.47
1545057000,255.36
1545143400,255.08
1545229800,251.26
1545316200,247.17
1545402600,240.70
1545661800,234.34
1545834600,246.18
1545921000,248.07
1546007400,247.75
1546266600,249.92
1546439400,250.18
1546525800,244.21
1546612200,252.39
1546871400,254.38
1546957800,256.77
1547044200,257.97
1547130600,258.88
1547217000,258.98
1547476200,257.40
1547562600,260.35
1547649000,260.98
1547735400,262.96
1547821800,266.46
1548167400,262.86
1548253800,263.41
1548340200,263.55
1548426600,265.78
1548685800,263.76
1548772200,263.41
1548858600,267.58
1548945000,269.93
1549031400,270.06
1549290600,271.96
1549377000,273.10
1549463400,272.74
1549549800,270.14
1549636200,270.47
1549895400,270.62
1549981800,274.10
1550068200,274.99
1550154600,274.38
1550241000,277.37
1550586600,277.85
1550673000,278.41
1550759400,277.42
1550845800,279.14
1551105000,279.52
1551191400,279.32
1551277800,279.20
1551364200,278.68
1551450600,280.42
1551709800,279.40
1551796200,279.02
1551882600,277.33
1551969000,275.01
1552055400,274.46
1552311000,278.44
1552397400,279.49
1552483800,281.34
1552570200,281.16
1552656600,281.31
1552915800,282.33
1553002200,282.40
1553088600,281.55
1553175000,284.73
1553261400,279.25
1553520600,279.04
1553607000,281.12
1553693400,279.65
1553779800,280.71
1553866200,282.48
1554125400,285.83
1554211800,285.97
1554298200,286.42
1554384600,287.18
1554471000,288.57
1554730200,288.79
1554816600,287.31
1554903000,288.29
1554989400,288.21
1555075800,290.16
1555335000,289.97
1555421400,290.16
1555507800,289.45
1555594200,290.02
1555939800,290.27
1556026200,292.88
1556112600,292.23
1556199000,292.05
1556285400,293.41
1556544600,293.87
1556631000,294.02
1556717400,291.81
1556803800,291.18
1556890200,294.03
1557149400,292.82
1557235800,287.93
1557322200,287.53
1557408600,286.66
1557495000,288.10
1557754200,280.86
1557840600,283.40
1557927000,285.06
1558013400,287.70
1558099800,285.84
1558359000,283.95
1558445400,286.51
1558531800,285.63
1558618200,282.14
1558704600,282.78
1559050200,280.15
1559136600,278.27
1559223000,279.03
1559309400,275.27
1559568600,274.57
1559655000,280.53
1559741400,282.96
1559827800,284.80
1559914200,287.65
1560173400,288.97
1560259800,288.90
1560346200,288.39
1560432600,289.58
1560519000,289.26
1560778200,289.37
1560864600,292.40
1560951000,293.06
1561037400,295.86
1561123800,294.00
1561383000,293.64
1561469400,290.76
1561555800,290.47
1561642200,291.50
1561728600,293.00
1561987800,295.66
1562074200,296.43
1562160600,298.80
1562333400,298.46
1562592600,296.82
1562679000,297.19
1562765400,298.61
1562851800,299.31
1562938200,300.65
1563197400,300.75
1563283800,299.78
1563370200,297.74
1563456600,298.83
1563543000,297.17
1563802200,297.90
1563888600,300.03
1563975000,301.44
1564061400,300.00
1564147800,302.01
1564407000,301.46
1564493400,300.72
1564579800,297.43
1564666200,294.84
1564752600,292.62
1565011800,283.82
1565098200,287.80
1565184600,287.97
1565271000,293.62
1565357400,291.62
1565616600,288.07
1565703000,292.55
1565789400,283.90
1565875800,284.65
1565962200,288.85
1566221400,292.33
1566307800,290.09
1566394200,292.45
1566480600,292.36
1566567000,284.85
1566826200,288.00
1566912600,286.87
1566999000,288.89
1567085400,292.58
1567171800,292.45
1567517400,290.74
1567603800,294.04
1567690200,297.82
1567776600,298.05
1568035800,298.20
1568122200,298.13
1568208600,300.25
1568295000,301.29
1568381400,301.09
1568640600,300.16
1568727000,300.92
1568813400,301.10
1568899800,301.08
1568986200,298.28
1569245400,298.21
1569331800,295.87
1569418200,297.62
1569504600,297.00
1569591000,295.40
1569850200,296.77
1569936600,293.24
1570023000,288.06
1570109400,290.42
1570195800,294.35
1570455000,293.08
1570541400,288.53
1570627800,291.27
1570714200,293.24
1570800600,296.28
1571059800,295.95
1571146200,298.88
1571232600,298.40
1571319000,299.28
1571405400,297.97
1571664600,299.99
1571751000,299.01
1571837400,299.88
1571923800,300.37
1572010200,301.60
1572269400,303.30
1572355800,303.21
1572442200,304.14
1572528600,303.33
1572615000,306.14
1572877800,307.37
1572964200,307.03
1573050600,307.10
1573137000,308.18
1573223400,308.94
1573482600,308.35
1573569000,309.00
1573655400,309.10
1573741800,309.55
1573828200,311.79
1574087400,312.02
1574173800,311.93
1574260200,310.77
1574346600,310.27
1574433000,310.96
1574692200,313.37
1574778600,314.08
1574865000,315.48
1575037800,314.31
1575297000,311.64
1575383400,309.55
1575469800,311.46
1575556200,312.02
1575642600,314.87
1575901800,313.88
1575988200,313.53
1576074600,314.42
1576161000,317.13
1576247400,317.32
1576506600,319.50
1576593000,319.57
1576679400,319.59
1576765800,320.90
1576852200,320.73
1577111400,321.22
1577197800,321.23
1577370600,322.94
1577457000,322.86
1577716200,321.08
1577802600,321.86
1577975400,324.87
1578061800,322.41
1578321000,323.64
1578407400,322.73
1578493800,324.45
1578580200,326.65
1578666600,325.71
1578925800,327.95
1579012200,327.45
1579098600,328.19
1579185000,330.92
1579271400,331.95
1579617000,331.30
1579703400,331.34
1579789800,331.72
1579876200,328.77
1580135400,323.50
1580221800,326.89
1580308200,326.62
1580394600,327.68
1580481000,321.73
1580740200,324.12
1580826600,329.06
1580913000,332.86
1580999400,333.98
1581085800,332.20
1581345000,334.68
1581431400,335.26
1581517800,337.42
1581604200,337.06
1581690600,337.60
1582036200,336.73
1582122600,338.34
1582209000,336.95
1582295400,333.48
1582554600,322.42
1582641000,312.65
1582727400,311.50
1582813800,297.51
1582900200,296.26
1583159400,309.09
1583245800,300.24
1583332200,312.86
1583418600,302.46
1583505000,297.46
1583760600,274.23
1583847000,288.42
1583933400,274.36
1584019800,248.11
1584106200,269.32
1584365400,239.85
1584451800,252.80
1584538200,240.00
1584624600,240.51
1584711000,228.80
1584970200,222.95
1585056600,243.15
1585143000,246.79
1585229400,261.20
1585315800,253.42
1585575000,261.65
1585661400,257.75
1585747800,246.15
1585834200,251.83
1585920600,248.19
1586179800,264.86
1586266200,265.13
1586352600,274.03
1586439000,278.20
1586784600,275.66
1586871000,283.79
1586957400,277.76
1587043800,279.10
1587130200,286.64
1587389400,281.59
1587475800,273.04
1587562200,279.10
1587648600,279.08
1587735000,282.97
1587994200,287.05
1588080600,285.73
1588167000,293.21
1588253400,290.48
1588339800,282.79
1588599000,283.57
1588685400,286.19
1588771800,284.25
1588858200,287.68
1588944600,292.44
1589203800,292.50
1589290200,286.67
1589376600,281.60
1589463000,284.97
1589549400,286.28
1589808600,295.00
1589895000,291.97
1589981400,296.93
1590067800,294.88
1590154200,295.44
1590499800,299.08
1590586200,303.53
1590672600,302.97
1590759000,304.32
1591018200,305.55
1591104600,308.08
1591191000,312.18
1591277400,311.36
1591363800,319.34
1591623000,323.20
1591709400,320.79
1591795800,319.00
1591882200,300.61
1591968600,304.21
1592227800,307.05
1592314200,312.96
1592400600,311.66
1592487000,311.78
1592573400,308.64
1592832600,310.62
1592919000,312.05
1593005400,304.09
1593091800,307.35
1593178200,300.05
