date,close
1726579800,476.37
1726583400,475.55
1726587000,473.78
1726590600,473.46
1726594200,473.03
1726597800,472.80
1726601400,473.51
1726666200,473.99
1726669800,473.17
1726673400,473.31
1726677000,474.11
1726680600,476.75
1726684200,475.15
1726687800,471.32
1726752600,484.49
1726756200,484.62
1726759800,485.21
1726763400,485.26
1726767000,485.07
1726770600,483.96
1726774200,483.41
1726839000,481.67
1726842600,479.43
1726846200,482.08
1726849800,481.78
1726853400,480.61
1726857000,482.62
1726860600,482.43
1727098200,483.55
1727101800,483.36
1727105400,482.69
1727109000,482.16
1727112600,482.77
1727116200,482.99
1727119800,483.02
1727184600,480.97
1727188200,483.97
1727191800,485.70
1727195400,485.31
1727199000,484.72
1727202600,484.87
1727206200,485.35
1727271000,486.70
1727274600,486.14
1727278200,486.31
1727281800,485.65
1727285400,486.04
1727289000,485.65
1727292600,485.93
1727357400,489.59
1727361000,487.45
1727364600,487.40
1727368200,487.27
1727371800,489.57
1727375400,489.58
1727379000,489.44
1727443800,488.92
1727447400,487.87
1727451000,487.48
1727454600,487.02
1727458200,486.21
1727461800,487.16
1727465400,486.78
1727703000,485.92
1727706600,486.89
1727710200,487.15
1727713800,485.72
1727717400,483.79
1727721000,485.20
1727724600,488.05
1727789400,479.53
1727793000,479.21
1727796600,480.61
1727800200,478.21
1727803800,483.06
1727807400,482.60
1727811000,481.17
1727875800,481.90
1727879400,483.07
1727883000,483.38
1727886600,482.19
1727890200,482.27
1727893800,482.85
1727897400,481.94
1727962200,481.00
1727965800,481.70
1727969400,482.57
1727973000,480.56
1727976600,480.71
1727980200,480.04
1727983800,481.62
1728048600,482.96
1728052200,483.51
1728055800,484.51
1728059400,485.47
1728063000,485.49
1728066600,486.67
1728070200,487.49
1728307800,486.37
1728311400,485.97
1728315000,485.78
1728318600,485.14
1728322200,484.65
1728325800,482.01
1728329400,482.06
1728394200,486.53
1728397800,487.65
1728401400,487.77
1728405000,486.84
1728408600,487.79
1728412200,489.03
1728415800,489.33
1728480600,490.42
1728484200,491.47
1728487800,492.08
1728491400,492.24
1728495000,493.11
1728498600,492.58
1728502200,493.18
1728567000,491.96
1728570600,492.68
1728574200,493.54
1728577800,493.31
1728581400,492.04
1728585000,492.29
1728588600,492.60
1728653400,493.51
1728657000,492.84
1728660600,493.14
1728664200,493.13
1728667800,493.53
1728671400,494.10
1728675000,493.34
1728912600,497.97
1728916200,495.76
1728919800,497.10
1728923400,497.16
1728927000,497.34
1728930600,497.90
1728934200,497.50
1728999000,495.00
1729002600,492.18
1729006200,491.85
1729009800,491.03
1729013400,491.32
1729017000,489.65
1729020600,490.78
1729085400,490.60
1729089000,490.14
1729092600,489.89
1729096200,490.10
1729099800,491.49
1729103400,490.97
1729107000,490.92
1729171800,493.37
1729175400,493.59
1729179000,494.29
1729182600,494.05
1729186200,492.14
1729189800,491.83
1729193400,491.35
1729258200,494.90
1729261800,495.19
1729265400,493.99
1729269000,494.69
1729272600,494.94
1729276200,494.70
1729279800,494.51
1729517400,495.15
1729521000,491.65
1729524600,493.57
1729528200,494.29
1729531800,494.21
1729535400,494.45
1729539000,495.47
1729603800,494.75
1729607400,494.54
1729611000,493.57
1729614600,495.08
1729618200,496.28
1729621800,496.16
1729625400,496.03
1729690200,493.19
1729693800,490.58
1729697400,489.38
1729701000,487.71
1729704600,486.08
1729708200,487.58
1729711800,488.37
1729776600,490.73
1729780200,491.37
1729783800,491.01
1729787400,491.77
1729791000,491.93
1729794600,492.54
1729798200,492.33
1729863000,499.95
1729866600,498.57
1729870200,499.22
1729873800,496.95
1729877400,496.24
1729881000,495.73
1729884600,495.26
1730122200,497.79
1730125800,496.86
1730129400,496.81
1730133000,496.33
1730136600,496.23
1730140200,496.12
1730143800,495.37
1730208600,496.47
1730212200,497.78
1730215800,498.23
1730219400,499.42
1730223000,500.16
1730226600,501.23
1730230200,500.14
1730295000,500.11
1730298600,499.94
1730302200,499.15
1730305800,498.42
1730309400,497.87
1730313000,497.24
1730316600,496.38
1730381400,486.97
1730385000,485.94
1730388600,485.71
1730392200,485.27
1730395800,484.54
1730399400,485.53
1730403000,483.89
1730467800,490.35
1730471400,490.65
1730475000,489.14
1730478600,489.78
1730482200,487.74
1730485800,487.66
1730489400,487.40
1730730600,488.34
1730734200,488.22
1730737800,486.68
1730741400,487.25
1730745000,487.16
1730748600,486.77
1730752200,485.96
1730817000,490.35
1730820600,491.12
1730824200,492.33
1730827800,491.68
1730831400,491.57
1730835000,491.96
1730838600,492.25
1730903400,503.19
1730907000,502.69
1730910600,503.24
1730914200,504.68
1730917800,505.32
1730921400,505.74
1730925000,505.62
1730989800,510.92
1730993400,511.96
1730997000,512.56
1731000600,512.40
1731004200,512.69
1731007800,513.82
1731011400,513.60
1731076200,513.19
1731079800,513.60
1731083400,513.45
1731087000,514.15
1731090600,514.79
1731094200,513.82
1731097800,514.16
1731335400,513.08
1731339000,513.50
1731342600,512.67
1731346200,511.94
1731349800,512.39
1731353400,513.18
1731357000,513.83
1731421800,513.75
1731425400,512.79
1731429000,512.33
1731432600,511.44
1731436200,513.08
1731439800,512.94
1731443400,512.91
1731508200,510.98
1731511800,512.30
1731515400,513.05
1731519000,514.03
1731522600,513.50
1731526200,512.84
1731529800,512.27
1731594600,510.97
1731598200,511.27
1731601800,510.08
1731605400,510.86
1731609000,510.11
1731612600,509.05
1731616200,508.67
1731681000,498.88
1731684600,498.66
1731688200,496.62
1731691800,496.14
1731695400,494.88
1731699000,496.24
1731702600,496.46
1731940200,500.41
1731943800,501.48
1731947400,500.55
1731951000,500.32
1731954600,499.21
1731958200,500.45
1731961800,500.00
1732026600,499.42
1732030200,501.34
1732033800,501.39
1732037400,502.45
1732041000,502.86
1732044600,503.03
1732048200,503.40
1732113000,497.57
1732116600,498.65
1732120200,500.23
1732123800,500.10
1732127400,498.83
1732131000,500.83
1732134600,503.20
1732199400,497.91
1732203000,503.94
1732206600,504.29
1732210200,505.54
1732213800,505.18
1732217400,506.12
1732221000,504.98
1732285800,503.24
1732289400,504.11
1732293000,505.51
1732296600,505.84
1732300200,505.28
1732303800,505.17
1732307400,505.81
1732545000,507.95
1732548600,508.00
1732552200,505.23
1732555800,506.41
1732559400,505.99
1732563000,506.08
1732566600,506.56
1732631400,508.50
1732635000,508.46
1732638600,508.14
1732642200,508.57
1732645800,507.67
1732649400,508.43
